id,created_at,text
589269746580754432,2015-04-18 03:30:30,बॉक्स ऑफिस पर फेल ‘पंडितजी बताई ना बियाह कब होई २’ http://t.co/yf4DgUJ5K3बॉक्स-ऑफिस-पर-फेल-पंडितजी/ via @bhojpuripanchay
589079539784908800,2015-04-17 14:54:41,भोजपुरी अष्टम अनुसूची से दूर क्यों? http://t.co/yf4DgUJ5K3भोजपुरी-अष्टम-अनुसूची-से/ via @bhojpuripanchay
575335507959250944,2015-03-10 16:40:48,"पति, पत्नि और वो दो
http://t.co/75XyJdI7LK http://t.co/Ixlt7AtBr1"
575335267088781312,2015-03-10 16:39:51,"पति, पत्नि और वो दो
http://t.co/75XyJdI7LK"
564460827852288000,2015-02-08 16:28:43,"पवन सिंह , 31 वर्ष, फिल्म 
http://t.co/wg0lkqmBFU http://t.co/ukT6IqFZA8"
564460451782594560,2015-02-08 16:27:13,"अजित दुबे - दमदार भोजपुरिया, 64 वर्ष, सामाजिक http://t.co/6fQC59Cv7f http://t.co/0pr3cWNK0P"
http://t.co/leSQdvBggS http://t.co/f4CRRYBXbe"
563728941370724352,2015-02-06 16:00:27,मालिनी अवस्थी - दमदार भोजपुरिया http://t.co/WRpWV5Uc5h http://t.co/vATUHB4GkV
563717365393678336,2015-02-06 15:14:27,"राजीव प्रताप रूढ़ी - दमदार भोजपुरिया
http://t.co/qZOOdLtDYx http://t.co/J6WIie6Ce9"
563717194148634624,2015-02-06 15:13:47,राजीव प्रताप रूढ़ी - दमदार भोजपुरिया http://t.co/qZOOdLtDYx
563712821310283776,2015-02-06 14:56:24,Shahi Imam: Alka Lamba ne mere bhai se milkar hamara support manga.. tabhi hum samarthan ka Elaan kiye..Aam @AamAadmiParty  ke liye
563712162225340418,2015-02-06 14:53:47,मालिनी अवस्थी - दमदार भोजपुरिया http://t.co/WRpWV5Uc5h http://t.co/WnsvuYdIbn
563707618972037122,2015-02-06 14:35:44,"रवि किशन - दमदार भोजपुरिया
http://t.co/hyhgmD1cZN http://t.co/ZGsJdoqin8"
563683784977940481,2015-02-06 13:01:01,दम बा भोजपुरी में - दमदार भोजपुरिया http://t.co/EzChV8ALgN http://t.co/cDTG3zc5YF
563680274043514880,2015-02-06 12:47:04,"डाॅ. संजय सिन्हा - दमदार भोजपुरिया
http://t.co/EzChV8ALgN http://t.co/IPRp12TRsu"
563678777427755008,2015-02-06 12:41:07,Delhi Election 2015 - वादों का हवाई किला http://t.co/EzChV8ALgN http://t.co/q2DOPDD6pR
563676457352712192,2015-02-06 12:31:54,मनोज तिवारी - दमदार भोजपुरिया http://t.co/EzChV8ALgN http://t.co/s9b4RKcyh2
