id,created_at,text
588042033232801793,2015-04-14 18:12:00,"RT @Aakhetak: पातर बाडु, हिलत बाडु, मोटाये के दवाई खइबु
खइबु रसगुल्ला की गोरिया रसमलाई खइबु"
587978198283067392,2015-04-14 13:58:21,RT @rranjan501: एसी में रहे वाला टोपीवालन के कौन धोती वाला समझाई कि बेवाय फाटल का कहाला... #भोजपुरी
587960035772334080,2015-04-14 12:46:10,सतुआन कईसन रहल?
587321587185090560,2015-04-12 18:29:12,"RT @Aakhetak: मधुबनी पेंटिंग, वो भी कोहबर घर में. दुल्हन से प्रथम मिलन को और भी मनमोहक और अविस्मरणीय बना देता है."
586919119146070017,2015-04-11 15:49:57,RT @Aakhetak: भाषा बोली का कलेवर है.
585547164413202432,2015-04-07 20:58:17,"RT @theFirstHandle: बड़े लोगों का भी बड़ा कलेश है. हमेशा ego क्लैश होता है, दू गो या तीन गो काहे क्लैश नहीं होता?"
584088215063244800,2015-04-03 20:20:56,RT @Aakhetak: कोई बहेड़ कहता है .. कोई पगलेट कहता है
584079068829712384,2015-04-03 19:44:36,@hindiplz रहूलवा रूस के गया है तs एतना सबीराहे अईसे कईसे लउट जायेगा!
584066388542775296,2015-04-03 18:54:13,RT @Profkkmishra: त राऊर गोड लाग तानी।
584065985801490432,2015-04-03 18:52:37,@Profkkmishra :) बहुत धन्यवाद. आइब तs जरुर मिलब! आउरी जल्दीये आइब :)
584065762509336577,2015-04-03 18:51:43,"चैत सबके याद बाटे @ravishndtv जी, तनी सोच बदलीं आउरी नज़र उठा के देखीं! https://t.co/8Ocb2h93nz"
584065103311560706,2015-04-03 18:49:06,"@Profkkmishra हाँ, देखाता आउर देख के बड़ी निम्न लागsता. बुझाता की अब जल्दिये काशी नगरी में आवे के पड़ी! :) फोटोइया डालत रहीं! धन्यवाद!"
584063927258054657,2015-04-03 18:44:26,@Profkkmishra बहुत बेजोड़! एकदम सुघर लागsता!
584063631781994498,2015-04-03 18:43:15,एक हफ्ता से चैता चैती सुन-सुन के मिजाज़ एकदम चैतमय हो गया है. अब कल दोपहरिया से बैसाख शुरू है तो कल से का सुना जाये!
584061863064952832,2015-04-03 18:36:14,"आउर आखिरी (शायद) में एक लोकल चैता, जईसे की गाँव घर में कीर्तन मण्डली में बैठ के गाते हैं.
रांची के पवन कुमार जी:
584060404311183360,2015-04-03 18:30:26,"एक चैती भोजपुरी की सबसे बेहतरीन फिल्म से. 
सुमन कल्यानपुर जी 'बिदेसिया' में:
""बनी जइहों बन की जोगिनिया हो रामा...""
584054916093706240,2015-04-03 18:08:37,"एगो आउरी झंकार आउर चटकार अधरतिया चैता:
बिजेंदर गिरी: 
पिया घरे रहते त पिसते हरदिया हे रामा....
ईस्ट ऑर वेस्ट,
सरैसा खैनी इज द बेस्ट! ;)"
584052934712893441,2015-04-03 18:00:45,"@vikash_ara हाँ, और बहुत ही बेजोड़, उत्कृष्ट क्वालिटी के पेंटिंग्स. मिथिला पेंटिंग के एगो धारा तs कोहबर पर केन्द्रित हs!"
